,,,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
행사가,,,307.5,310.0,312.5,315.0,317.5,320.0,322.5,325.0,327.5,330.0,332.5,335.0,337.5,340.0,342.5,345.0,347.5,350.0,352.5
거래일자,풋콜구분,시각,,,,,,,,,,,,,,,,,,,
20230811,CALL,915,,,,,,,,,,14.7,12.7,,,7.4,5.91,4.66,3.57,2.66,
20230811,CALL,1515,,,,,,,,,,,,8.23,6.65,5.26,4.04,3.02,2.21,1.56,
20230811,PUT,915,,,,,,,,,,1.43,1.88,2.44,3.13,3.99,5.03,6.25,7.68,,
20230811,PUT,1515,,,,,,,,,,1.92,2.5,3.24,4.13,5.24,6.52,,,,
20230814,CALL,915,,,,,,,,,,,,7.42,5.9,4.6,3.5,2.59,1.86,,
20230814,CALL,1515,,,,,,,,,,,7.74,6.19,4.86,3.72,2.78,2.02,1.42,,
20230814,PUT,915,,,,,,,,,1.67,2.2,2.87,3.7,4.71,5.9,7.29,8.83,,,
20230814,PUT,1515,,,,,,,,,2.06,2.7,3.48,4.45,5.6,6.94,,,,,
20230816,CALL,915,,,,,,,,11.15,,7.63,6.1,4.78,3.64,2.71,1.95,1.37,,,
20230816,CALL,1515,,,,,,,,,7.77,6.25,4.91,3.74,2.79,2.01,1.4,0.95,,,
20230816,PUT,915,,,,,,,,2.18,2.83,3.63,4.61,5.76,7.12,8.68,10.45,,,,
20230816,PUT,1515,,,,,,,,2.82,3.6,4.55,5.71,7.05,8.53,10.35,12.2,,,,
20230817,CALL,915,,,,,,,,7.37,5.91,4.63,3.56,2.64,1.9,1.32,,,,,
20230817,CALL,1515,,,,,,,,,6.85,5.41,4.17,3.12,2.25,1.56,,,,,
20230817,PUT,915,,,,,,2.66,3.39,4.25,5.3,6.51,7.91,9.49,,13.05,,,,,
20230817,PUT,1515,,,,,,1.99,2.57,3.29,4.16,5.22,6.46,7.91,,,,,,,
20230818,CALL,915,,,,,,,,7.38,5.92,4.63,3.54,2.62,1.86,1.28,,,,,
20230818,CALL,1515,,,,,,,,,6.29,4.93,3.76,2.76,1.97,1.35,,,,,
20230818,PUT,915,,,,,,2.77,3.49,4.36,5.38,6.59,7.92,,,13.1,,,,,
20230818,PUT,1515,,,,,,2.3,2.94,3.74,4.69,5.86,7.15,,,,,,,,
20230821,CALL,915,,,,,,,,,6.44,5.02,3.83,2.83,2.01,,,,,,
20230821,CALL,1515,,,,,12.9,,,7.37,5.84,4.51,3.36,2.43,1.67,,,,,,
20230821,PUT,915,,,,,1.55,2.02,2.61,3.36,4.31,5.38,6.67,8.07,,,,,,,
20230821,PUT,1515,,,,,1.65,2.15,2.78,3.58,4.54,5.68,7.08,8.62,,,,,,,
20230822,CALL,915,,,,,,12.8,,,7.23,5.67,4.37,3.22,2.29,,,,,,
20230822,CALL,1515,,,,,,,9.51,7.78,6.17,4.74,3.53,2.53,1.73,,,,,,
20230822,PUT,915,,,,,1.05,1.42,1.89,2.5,3.27,4.22,5.36,6.73,,,,,,,
20230822,PUT,1515,,,,,1.2,1.62,2.17,2.87,3.75,4.8,6.11,7.58,,,,,,,
20230823,CALL,915,,,,,,,,7.37,5.91,4.5,3.32,2.36,1.6,,,,,,
20230823,CALL,1515,,,,,,,,,5.7,4.33,3.18,2.23,1.49,,,,,,
20230823,PUT,915,,,,,1.22,1.65,2.22,2.94,3.81,4.91,6.26,7.76,,,,,,,
20230823,PUT,1515,,,,,1.14,1.57,2.13,2.85,3.76,4.88,6.21,,,,,,,,
20230824,CALL,915,,,,,,,,10.4,8.51,6.65,5.09,3.77,2.68,,,,,,
20230824,CALL,1515,,,,,,,,,8.3,6.53,4.95,3.63,2.54,,,,,,
20230824,PUT,915,,,,,0.49,0.71,1.02,1.45,2.01,2.76,3.7,4.86,6.27,,,,,,
20230824,PUT,1515,,,,,0.41,0.61,0.89,1.29,1.84,2.56,3.49,4.66,6.08,,,,,,
20230825,CALL,915,,,,,,,,7.54,5.92,4.46,3.28,2.27,1.51,0.94,0.56,,,,
20230825,CALL,1515,,,,,,,,,5.92,4.47,3.25,2.26,1.49,0.93,0.55,,,,
20230825,PUT,915,,,,,,,1.83,2.48,3.34,4.38,5.64,7.13,8.86,,,,,,
